id,name,categories,price,weight
f6e2cc71-c33b-4125-93c6-00b423da0dc9,Springbok Puzzles Picnic Perfect Bridge Score Pads,Toys & Games | Games & Accessories | Card Games,8.17,1.6
48f7b389-c5de-4bba-8d7b-85e26a1f54e1,Tamiya 78024 IJN Tone Heavy Cruiser Model Kit,Toys & Games | Hobbies | Models & Model Kits | Model Kits | Figure Kits,133.45,2.91
16b6f8ee-3b27-4cdb-87e6-b984ec5008cb,"Manhattan Toy Playtime Plush Toy, Giraffe Travel",Toys & Games | Learning & Education | Counting & Math Toys,7.95,3.8
4ff65437-e3fb-4c9b-aed8-f8cc40e25a9f,"Pacific Play Tents Institutional 9 Foot X 22"" Crawl Tunnel for Indoor/ Outdoor Fun",Pet Supplies | Dogs | Training & Behavior Aids | Agility Equipment | Tunnels,68025.0,6.75
d4b12d4a-a7cb-4ad6-a6c2-01deac18afe6,"Elenco Helping Hands with 2 .5"" Magnifying Glass | Work Bench Must Have | Case-Iron Base | Chrome Plated for Long Life | Glass Lens",Toys & Games | Hobbies | Hobby Building Tools & Hardware | Magnifying Tools,6.99,
47388951-1c90-4a20-bfea-d4372d54f907,Rubies Monster High Clawdeen Wolf Child Costume Wig,"Clothing, Shoes & Jewelry | Costumes & Accessories | Kids & Baby | Girls | Accessories",16.94,8.8
da1c5bc6-d6dd-4346-81c6-0c97464eff00,"Hey! Play! Princess Crowns-Set of 4 Silver Tiaras with Gem Detail-Pretend Play Dress Up Costume Accessories for Tea Parties, Halloween, Birthdays",Toys & Games | Dress Up & Pretend Play | Beauty & Fashion | Rings,12.63,8.2
de38a9a4-4733-4fc0-9393-bdaab94f6cc3,"SainSmart Jr. Pretend Princess Girls Vanity Table with Fairy Infrared Control and MP3 Music Playing, Princess Dressing Makeup Table, with Mirror, Cosmetics and Working Hair Dryer",Toys & Games | Dress Up & Pretend Play | Beauty & Fashion | Vanities,47.99,
75b795b3-81eb-4cee-958c-56cf8addb90d,Redwood Ventures Foodie Surprise Yolkies Surprise Egg,Toys & Games | Novelty & Gag Toys,3006.98,
3b4ac288-a03d-4e97-bb39-57ca03570f24,amscan Snowflake Foil Spray Centerpiece | Christmas Decoration,Toys & Games | Party Supplies,9.99,9.6
